,FIPS,State,County,Median_Income_2022
96,0,US,United States,74755.0
193,1000,AL,Alabama,59703.0
294,1001,AL,Autauga County,70148.0
395,1003,AL,Baldwin County,71704.0
496,1005,AL,Barbour County,41151.0
597,1007,AL,Bibb County,54309.0
698,1009,AL,Blount County,60553.0
799,1011,AL,Bullock County,35798.0
900,1013,AL,Butler County,41852.0
1001,1015,AL,Calhoun County,52772.0
1102,1017,AL,Chambers County,45563.0
1203,1019,AL,Cherokee County,52613.0
1304,1021,AL,Chilton County,61823.0
1405,1023,AL,Choctaw County,44458.0
1506,1025,AL,Clarke County,44906.0
1607,1027,AL,Clay County,49599.0
1708,1029,AL,Cleburne County,49248.0
1809,1031,AL,Coffee County,62429.0
1910,1033,AL,Colbert County,54593.0
2011,1035,AL,Conecuh County,36106.0
2112,1037,AL,Coosa County,49485.0
2213,1039,AL,Covington County,46958.0
2314,1041,AL,Crenshaw County,49161.0
2415,1043,AL,Cullman County,61774.0
2516,1045,AL,Dale County,50567.0
2617,1047,AL,Dallas County,35258.0
2718,1049,AL,DeKalb County,50037.0
2819,1051,AL,Elmore County,71463.0
2920,1053,AL,Escambia County,47792.0
3021,1055,AL,Etowah County,55487.0
3122,1057,AL,Fayette County,49205.0
3223,1059,AL,Franklin County,49611.0
3324,1061,AL,Geneva County,51585.0
3425,1063,AL,Greene County,35449.0
3526,1065,AL,Hale County,44702.0
3627,1067,AL,Henry County,56702.0
3728,1069,AL,Houston County,56842.0
3829,1071,AL,Jackson County,51965.0
3930,1073,AL,Jefferson County,61996.0
4031,1075,AL,Lamar County,51523.0
4132,1077,AL,Lauderdale County,59023.0
4233,1079,AL,Lawrence County,55516.0
4334,1081,AL,Lee County,59637.0
4435,1083,AL,Limestone County,83159.0
4536,1085,AL,Lowndes County,42268.0
4637,1087,AL,Macon County,36601.0
4738,1089,AL,Madison County,80426.0
4839,1091,AL,Marengo County,45587.0
4940,1093,AL,Marion County,47742.0
5041,1095,AL,Marshall County,53388.0
