,COUNTY_FIPS_CODE,WATER_QUALITY_COUNTY_SCORE
0,6001.0,30.974301112
48,6003.0,41.483428584
49,6005.0,52.217362475
60,6007.0,55.787534368
77,6009.0,43.68752251
94,6011.0,49.500133301
100,6013.0,52.217362475
141,6015.0,46.92872177
146,6017.0,58.139194576
166,6019.0,63.390273105
221,6021.0,46.515439203
229,6023.0,49.004067692
262,6025.0,55.087604981
275,6027.0,58.328294546
284,6029.0,65.729987008
331,6031.0,55.176003849
338,6033.0,54.346859037
351,6035.0,42.549632323
361,6037.0,60.524396415
638,6039.0,63.570700494
650,6041.0,52.032050445
676,6043.0,47.994925508
682,6045.0,51.814941893
706,6047.0,56.400743908
725,6049.0,37.845496087
735,6051.0,55.087604981
742,6053.0,62.797820997
768,6055.0,58.341529586
778,6057.0,48.960397634
789,6059.0,45.480741906
877,6061.0,53.332464027
905,6063.0,49.914989117
919,6065.0,58.254863285
989,6067.0,48.152288549
1042,6069.0,54.041746143
1046,6071.0,64.008681011
1130,6073.0,61.823173372
1227,6075.0,30.974301112
1254,6077.0,59.343362037
1285,6079.0,58.471971837
1306,6081.0,55.348207949
1333,6083.0,55.023483524
1356,6085.0,55.537954352
1412,6087.0,54.648216407
1429,6089.0,48.916339393
1452,6091.0,40.619242629
1458,6093.0,50.264184145
1479,6095.0,47.490437604
1492,6097.0,59.497518231
1525,6099.0,61.878517678
1549,6101.0,50.127443902
1559,6103.0,49.539315477
1571,6105.0,47.887170842
1583,6107.0,66.219953332
1615,6109.0,52.836398417
1626,6111.0,51.740406362
1650,6113.0,57.877706689
1667,6115.0,47.549095323
1676,12001.0,58.348133877
1694,12003.0,49.914989117
1697,12005.0,53.946425523
1709,12007.0,47.549095323
1713,12009.0,60.761158315
1740,12011.0,63.120564071
1793,12013.0,45.017178179
1797,12015.0,55.07484688
1810,12017.0,64.012892158
1823,12019.0,54.606270999
1830,12021.0,57.9782772
1849,12023.0,55.809612442
1854,12027.0,52.673206081
1857,12029.0,50.955450723
1860,12031.0,59.413060052
1893,12033.0,52.547186086
1909,12035.0,51.864016744
1913,12037.0,51.535984835
1917,12039.0,53.350586604
1924,12041.0,54.758365817
1926,12043.0,54.563967589
1928,12045.0,48.82703032
1930,12047.0,57.539887292
1933,12049.0,55.686947658
1937,12051.0,56.180862234
1940,12053.0,62.675297112
1950,12055.0,56.98127802
1958,12057.0,64.490079974
2009,12059.0,55.82061471
2011,12061.0,54.606270999
2020,12063.0,59.261704186
2031,12065.0,54.361632579
2034,12067.0,52.589549758
