County,FIPS,Micrograms per cubic meter (PM2.5)(1)
United States,00000,7.3
"Mono County, California",06051,39.1
"Clackamas County, Oregon",41005,30.4
"Marion County, Oregon",41047,24.9
"Mariposa County, California",06043,21.3
"Kern County, California",06029,21.1
"Plumas County, California",06063,21.1
"Linn County, Oregon",41043,21
"Tulare County, California",06107,20.8
"San Diego County, California",06073,20.6
"Fresno County, California",06019,20.3
"Kings County, California",06031,20
"Klamath County, Oregon",41035,19.7
"Douglas County, Oregon",41019,19.3
"Jefferson County, Oregon",41031,18.4
"San Bernardino County, California",06071,17.4
"Madera County, California",06039,17.1
"Glenn County, California",06021,17
"Wasco County, Oregon",41065,16.8
"Sutter County, California",06101,16.7
"Yuba County, California",06115,16.3
"Crook County, Oregon",41013,16.2
"Tuolumne County, California",06109,16.2
"Butte County, California",06007,16.1
"Pinal County, Arizona",04021,16.1
"Benton County, Washington",53005,16
"Yolo County, California",06113,15.9
"Deschutes County, Oregon",41017,15.8
"Jackson County, Oregon",41029,15.6
"Los Angeles County, California",06037,15.6
"Stanislaus County, California",06099,15.6
"Hood River County, Oregon",41027,15.5
"Skamania County, Washington",53059,15.5
"Grant County, Washington",53025,15.3
"Merced County, California",06047,15.3
"Franklin County, Washington",53021,15.1
"Okanogan County, Washington",53047,15.1
"San Joaquin County, California",06077,15.1
"Sherman County, Oregon",41055,15.1
"Lane County, Oregon",41039,15
"Sacramento County, California",06067,14.9
"Riverside County, California",06065,14.8
"Umatilla County, Oregon",41059,14.7
"El Dorado County, California",06017,14.6
"Adams County, Washington",53001,14.5
"Josephine County, Oregon",41033,14.5
"Yakima County, Washington",53077,14.5
"Amador County, California",06005,14.2
"Gilliam County, Oregon",41021,14
"Lincoln County, Montana",30053,13.8
"Stevens County, Washington",53065,13.5
"Clark County, Washington",53011,13.4
"Tehama County, California",06103,13.3
"Placer County, California",06061,13.1
"Kootenai County, Idaho",16055,13
"Walla Walla County, Washington",53071,12.9
"Colusa County, California",06011,12.8
"Bonner County, Idaho",16017,12.7
"Calaveras County, California",06009,12.7
"Lincoln County, Washington",53043,12.7
"Orange County, California",06059,12.7
"Yamhill County, Oregon",41071,12.7
"Cameron County, Texas",48061,12.6
