County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Armstrong County, Texas(7)",48011,Urban,279.6,152.3,473.3,N/A , N/A , N/A,3,*,*,*,*
"Aurora County, South Dakota(6)",46003,Rural,265.3,160,416.1,N/A , N/A , N/A,5,rising,18.4,5.4,50.1
"Webster County, Georgia(7)",13307,Rural,248,143.6,404.6,N/A , N/A , N/A,4,*,*,*,*
"Haakon County, South Dakota(6)",46055,Rural,233.5,121.8,412.6,N/A , N/A , N/A,3,*,*,*,*
"Traverse County, Minnesota(6)",27155,Rural,220.5,138.4,338.5,N/A , N/A , N/A,5,rising,7.8,0.7,17.3
"McCook County, South Dakota(6)",46087,Urban,216.9,151.6,302.4,N/A , N/A , N/A,8,rising,8.1,2.3,28.1
"Calhoun County, Georgia(7)",13037,Rural,214.8,139.5,317.8,N/A , N/A , N/A,6,stable,7.5,-18.5,41.1
"Pickens County, Alabama(6)",01107,Urban,205.8,169.6,247.7,N/A , N/A , N/A,26,falling,-24.4,-40.6,-2.7
"Mountrail County, North Dakota(6)",38061,Rural,198.4,143,267.8,N/A , N/A , N/A,9,stable,2.7,-1.6,8.2
"Humphreys County, Mississippi(6)",28053,Rural,196.5,143.4,263.4,N/A , N/A , N/A,10,rising,4.1,0.8,8.3
"Calhoun County, Illinois(7)",17013,Urban,193.9,133.5,278.1,N/A , N/A , N/A,7,stable,2.9,-0.9,7.8
"Hitchcock County, Nebraska(6)",31087,Rural,191.9,102.9,330.7,N/A , N/A , N/A,4,*,*,*,*
"Essex County, Virginia(6)",51057,Rural,190.4,148.8,241.6,N/A , N/A , N/A,17,rising,4.4,1.8,7.7
