Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
ADDIS CARBON BLACK PLANT,ADDIS,WEST BATON ROUGE PARISH,LA,70710,30.3288,-91.2792,Chemicals,NO,67604.0,0.0,0.0,67604.0
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,30.474444,-91.183056,Chemicals,NO,56800.18,0.0,0.0,89720.085
AQUATIC CO,ELIZABETHTOWN,LANCASTER,PA,17022,40.1624,-76.65679,Plastics and Rubber,YES,17140.0,0.0,0.0,17140.0
INDUSTRIAL LAMINATES/NORPLEX INC,POSTVILLE,ALLAMAKEE,IA,52162,43.09011,-91.5549,Plastics and Rubber,YES,47553.0,0.0,0.0,47889.0
INEOS NITRILES USA LLC           GREEN LAKE PLANT,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,Chemicals,YES,0.0,0.0,0.0,60796.0
PCS PHOSPHATE CO INC,AURORA,BEAUFORT,NC,27806,35.37745,-76.778816,Chemicals,NO,69.1,0.0,0.0,741560.834
BRAVO INC.,LEXINGTON,HENDERSON,TN,38351,35.719736,-88.381552,Plastics and Rubber,YES,23811.0,0.0,0.0,23811.0
FUTAMURA USA INC,TECUMSEH,SHAWNEE,KS,66542,39.05336,-95.557551,Chemicals,NO,51507.0,0.0,0.0,70557.0
SEKISUI SPECIALTY CHEMICALS AMERICA LLC. - PASADENA PLANT,PASADENA,HARRIS,TX,77506,29.716059,-95.189998,Chemicals,YES,4518.0,0.0,0.0,6023.0
ARLANXEO,ORANGE,ORANGE,TX,77630,30.047146,-93.769768,Chemicals,NO,349.8,22.75,0.0,7485.35
CHEMOURS DELISLE PLANT,PASS CHRISTIAN,HARRISON,MS,39571,30.389186,-89.308892,Chemicals,NO,16.0,75.0,0.0,22724.0
THARALDSON ETHANOL PLANT I LLC,CASSELTON,CASS,ND,58012,46.90411,-97.26349,Chemicals,YES,15776.21,0.0,0.0,15812.72
WHARF RESOURCES,LEAD,LAWRENCE,SD,57754,44.34444,-103.86166,Metal Mining,NO,0.0,28.0,0.0,7432.0
GUARDIAN ENERGY HANKINSON,HANKINSON,RICHLAND,ND,58041,46.073186,-96.886775,Chemicals,NO,9633.96,0.0,0.0,12532.06
NOURYON SURFACE CHEMISTRY LLC,HOUSTON,HARRIS,TX,77053,29.583889,-95.433889,Chemicals,NO,210.0,0.0,0.0,6932.0
WATERS TECHNOLOGY CORP,TAUNTON,BRISTOL,MA,2780,41.95257,-71.13507,Chemicals,NO,13630.0,0.0,0.0,13815.0
CHEVRON PHILLIPS CHEMICAL CO LP,BAYTOWN,HARRIS,TX,77521,29.826,-94.921917,Chemicals,YES,29556.0,0.0,0.0,30513.0
HUNTSMAN INTERNATIONAL LLC,HOUSTON,HARRIS,TX,77012,29.72061,-95.27017,Chemicals,NO,4909.0,0.0,0.0,5095.0
LSB CHEMICAL LLC,CHEROKEE,COLBERT,AL,35616,34.80302,-87.93974,Chemicals,NO,189523.0,2591.0,0.0,553188.0
FLEXCON CO INC.,SPENCER,WORCESTER,MA,1562,42.23265,-72.01162,Plastics and Rubber,NO,7636.0,0.0,0.0,7927.0
"ALTIVIA PETROCHEMICALS, LLC",HAVERHILL,SCIOTO,OH,45636,38.59167,-82.81944,Chemicals,NO,230.0,2134.0,0.0,8405.0
BIG RIVER UNITED ENERGY LLC,DYERSVILLE,DELAWARE,IA,52040,42.4872,-91.1633,Chemicals,YES,5947.61,0.0,0.0,5949.61
SHELL CHEMICAL LP,DEER PARK,HARRIS,TX,77536,29.722222,-95.126944,Chemicals,YES,38000.0,0.0,0.0,44900.0
EXXONMOBIL OIL CORP JOLIET REFINERY,CHANNAHON,WILL,IL,60410,41.413831,-88.18346,Petroleum,NO,8775.4,32.6,0.0,33842.2
BASF CORP,GEISMAR,ASCENSION PARISH,LA,70734,30.1979,-91.0035,Chemicals,NO,1530.0,0.0,0.0,5060.0
BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.313897,-91.240605,Chemicals,YES,2439.0,0.0,0.0,6664.0
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,BENICIA,SOLANO,CA,94510,38.07167,-122.13975,Petroleum,NO,0.0,240000.0,0.0,240000.0
MARATHON PETROLEUM CO LP ILLINOIS REFINING DIV,ROBINSON,CRAWFORD,IL,62454,39.002146,-87.725378,Petroleum,NO,2777.0,0.0,0.0,6387.0
CITGO PETROLEUM CORP,SULPHUR,CALCASIEU PARISH,LA,70665,30.18149,-93.324051,Petroleum,NO,4086.0,674.0,0.0,8621.0
AUSTIN POWDER CO,MC ARTHUR,VINTON,OH,45651,39.260361,-82.428116,Chemicals,NO,5000.0,0.0,0.0,5000.0
CORE MOLDING TECHNOLOGIES,GAFFNEY,CHEROKEE,SC,29340,35.10554,-81.60102,Plastics and Rubber,YES,0.0,0.0,0.0,25098.6
MATERION NATURAL RESOURCES INC MILL,DELTA,MILLARD,UT,84624,39.46657,-112.438488,Metal Mining,NO,1.0,0.0,0.0,58001.0
MEXICHEM SPECIALTY RESINS INC,PEDRICKTOWN,SALEM,NJ,8067,39.766944,-75.421361,Chemicals,YES,14674.0,15.0,0.0,18418.0
