County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Union County, Florida(6)",12125,Rural,56.1,41.6,74.3,N/A , N/A , N/A,10,rising,4.3,1.6,8.1
"Page County, Iowa(7)",19145,Rural,30.5,20.5,44.3,N/A , N/A , N/A,7,*,*,*,*
"Floyd County, Iowa(7)",19067,Rural,28.4,19,41.3,N/A , N/A , N/A,7,stable,2.7,0,6.3
"Davis County, Iowa(7)",19051,Rural,27.5,15.9,45.1,N/A , N/A , N/A,3,*,*,*,*
"Washington County, Idaho(7)",16087,Rural,27.2,15.7,44.5,N/A , N/A , N/A,4,*,*,*,*
"Boundary County, Idaho(7)",16021,Rural,27.1,15.7,43.6,N/A , N/A , N/A,4,*,*,*,*
"Pickens County, Georgia(7)",13227,Urban,27,20,35.7,N/A , N/A , N/A,12,rising,3.4,0.9,6.6
"Morton County, North Dakota(6)",38059,Urban,26.2,19.5,34.6,N/A , N/A , N/A,11,rising,3.8,1.1,7.3
"Vernon County, Wisconsin(6)",55123,Urban,26.1,19.2,34.9,N/A , N/A , N/A,10,stable,0.9,-3.8,6.3
"Carter County, Kentucky(7)",21043,Urban,26.1,18.5,35.8,N/A , N/A , N/A,9,*,*,*,*
"Polk County, Texas(7)",48373,Rural,26,19.9,33.5,N/A , N/A , N/A,14,stable,1.9,-0.7,4.8
"Summit County, Utah(7)",49043,Rural,25.6,18.9,33.8,N/A , N/A , N/A,11,*,*,*,*
"Hancock County, Iowa(7)",19081,Rural,25.5,15.5,40.5,N/A , N/A , N/A,4,*,*,*,*
"Jasper County, Illinois(7)",17079,Rural,25.5,14,43.2,N/A , N/A , N/A,3,*,*,*,*
"Howard County, Iowa(7)",19089,Rural,25.3,14.1,42.6,N/A , N/A , N/A,3,*,*,*,*
