County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Union County, Florida(6)",12125,Rural,42.4,30,58.4,N/A , N/A , N/A,8,stable,-0.8,-4.5,2.9
"Moody County, South Dakota(6)",46101,Rural,38.7,21.4,65.4,N/A , N/A , N/A,3,*,*,*,*
"Decatur County, Iowa(7)",19053,Rural,37.5,22.2,60.4,N/A , N/A , N/A,4,*,*,*,*
"Butler County, Nebraska(6)",31023,Rural,35.4,21.8,55.6,N/A , N/A , N/A,4,*,*,*,*
"Martin County, Kentucky(7)",21159,Rural,34.4,22,51.7,N/A , N/A , N/A,5,*,*,*,*
"Franklin County, Iowa(7)",19069,Rural,34.2,21.8,52,N/A , N/A , N/A,5,stable,2.2,-0.3,5.2
"Archer County, Texas(7)",48009,Urban,34,19.7,55.3,N/A , N/A , N/A,4,*,*,*,*
"Bon Homme County, South Dakota(6)",46009,Rural,33.7,18.5,57.4,N/A , N/A , N/A,3,*,*,*,*
"Grant County, South Dakota(6)",46051,Rural,32.7,18.1,55.4,N/A , N/A , N/A,4,*,*,*,*
"Fremont County, Iowa(7)",19071,Rural,31.7,17.4,54.6,N/A , N/A , N/A,3,*,*,*,*
"Langlade County, Wisconsin(6)",55067,Rural,31.2,21.9,43.6,N/A , N/A , N/A,9,stable,1.2,-2.4,4.8
"Owen County, Kentucky(7)",21187,Rural,31.2,19.2,48.3,N/A , N/A , N/A,4,*,*,*,*
"Montour County, Pennsylvania(6)",42093,Rural,30.1,21.2,42,N/A , N/A , N/A,8,stable,0,-5,5.3
"Carroll County, Iowa(7)",19027,Rural,30,20.9,42,N/A , N/A , N/A,8,stable,-0.3,-2.4,1.8
"Clay County, Iowa(7)",19041,Rural,30,20.9,42.3,N/A , N/A , N/A,7,stable,-0.1,-2.8,3
"Kalkaska County, Michigan(6)",26079,Urban,29.9,20.2,42.9,N/A , N/A , N/A,7,stable,1.9,-2.1,6.8
"Washington County, Idaho(7)",16087,Rural,29.8,17.4,48.2,N/A , N/A , N/A,4,stable,-0.2,-3.8,3.8
"Jefferson County, Montana(6)",30043,Urban,29.8,18.7,46.1,N/A , N/A , N/A,5,*,*,*,*
"Brown County, Minnesota(6)",27015,Rural,29.6,21.8,39.7,N/A , N/A , N/A,11,rising,7.4,2.4,21.2
