County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Clay County, West Virginia(6)",54015,Urban,36.7,20.6,60.8,N/A , N/A , N/A,4,*,*,*,*
"Powell County, Kentucky(7)",21197,Rural,33.7,21,51.2,N/A , N/A , N/A,5,*,*,*,*
"Logan County, West Virginia(6)",54045,Rural,32.3,24.1,42.4,N/A , N/A , N/A,12,rising,6.3,2.8,10.6
"Bedford County, Pennsylvania(6)",42009,Rural,29.7,22.9,38,N/A , N/A , N/A,15,rising,5.1,1.7,9.2
"Osage County, Missouri(6)",29151,Urban,29.4,17.6,46.1,N/A , N/A , N/A,4,*,*,*,*
"Richmond County, New York(7)",36085,Urban,29.4,27.3,31.6,N/A , N/A , N/A,157,stable,-0.7,-2.8,1.1
"Boone County, West Virginia(6)",54005,Urban,28.3,18.8,40.7,N/A , N/A , N/A,6,stable,-18.9,-34.6,9.6
"Larue County, Kentucky(7)",21123,Urban,27.4,16.4,42.9,N/A , N/A , N/A,4,*,*,*,*
"Jefferson County, Ohio(6)",39081,Urban,26.9,21.3,33.5,N/A , N/A , N/A,18,rising,4.7,1.8,8.3
"Dodge County, Nebraska(6)",31053,Rural,26.8,19.7,35.6,N/A , N/A , N/A,10,falling,-33.5,-51,-22.6
"Park County, Wyoming(6)",56029,Rural,26.7,18.6,37.1,N/A , N/A , N/A,8,rising,5.6,1.6,10.9
"Madison County, Idaho(7)",16065,Rural,26.7,17.9,38,N/A , N/A , N/A,7,stable,-8.6,-38.2,0.7
"Lincoln County, Kentucky(7)",21137,Rural,26.7,18.4,37.5,N/A , N/A , N/A,7,*,*,*,*
"DeKalb County, Illinois(7)",17037,Urban,26.6,21.9,31.9,N/A , N/A , N/A,25,stable,-6.5,-30.8,4
"Martin County, Kentucky(7)",21159,Rural,26.3,14.8,43.5,N/A , N/A , N/A,3,*,*,*,*
"Bingham County, Idaho(7)",16011,Rural,26.1,19.7,33.9,N/A , N/A , N/A,12,*,*,*,*
"Union County, Oregon(6)",41061,Rural,26,17.7,36.8,N/A , N/A , N/A,7,*,*,*,*
"Jackson Parish, Louisiana(7)",22049,Rural,25.9,15,41.3,N/A , N/A , N/A,4,*,*,*,*
"Becker County, Minnesota(6)",27005,Rural,25,17.8,34,N/A , N/A , N/A,9,rising,9.1,5.2,14.7
"Marquette County, Wisconsin(6)",55077,Rural,24.7,14.5,39.5,N/A , N/A , N/A,5,*,*,*,*
"Rabun County, Georgia(7)",13241,Rural,24.7,15.4,37.9,N/A , N/A , N/A,6,rising,5.1,1.3,10.2
"Habersham County, Georgia(7)",13137,Rural,24.6,18.7,31.8,N/A , N/A , N/A,13,rising,6,2.9,10.9
"Lumpkin County, Georgia(7)",13187,Urban,24.6,17.3,33.9,N/A , N/A , N/A,9,*,*,*,*
"Benton County, Iowa(7)",19011,Urban,24.6,16.4,35.2,N/A , N/A , N/A,6,*,*,*,*
"Hall County, Georgia(7)",13139,Urban,24.4,21.5,27.7,N/A , N/A , N/A,52,stable,-6.3,-17.9,0.2
"Knott County, Kentucky(7)",21119,Rural,24.3,14.2,38.9,N/A , N/A , N/A,4,*,*,*,*
"Letcher County, Kentucky(7)",21133,Rural,24.3,15.7,35.9,N/A , N/A , N/A,6,stable,-15.8,-41.9,5
"White County, Georgia(7)",13311,Rural,24.1,17.1,33.3,N/A , N/A , N/A,9,rising,5.7,2.4,11.2
"Kanawha County, West Virginia(6)",54039,Urban,24.1,21,27.5,N/A , N/A , N/A,49,stable,-10.8,-26.4,5.5
"Hubbard County, Minnesota(6)",27057,Rural,23.8,14.8,36.1,N/A , N/A , N/A,5,*,*,*,*
"Blair County, Pennsylvania(6)",42013,Urban,23.8,20.1,28.1,N/A , N/A , N/A,32,rising,5.8,3.3,9
"Kingfisher County, Oklahoma(6)",40073,Rural,23.6,14,37.3,N/A , N/A , N/A,4,*,*,*,*
"Somerset County, Pennsylvania(6)",42111,Rural,23.6,18.9,29.1,N/A , N/A , N/A,20,stable,2.6,-0.4,6
"Union County, Georgia(7)",13291,Rural,23.5,14.8,35.3,N/A , N/A , N/A,7,*,*,*,*
Puerto Rico(6),72001,Urban,23.4,22.7,24.2,N/A , N/A , N/A,746,falling,-6.9,-12,-3.9
"Lorain County, Ohio(6)",39093,Urban,23.4,21,25.9,N/A , N/A , N/A,80,stable,5.1,-6.6,9.5
"Wayne County, Kentucky(7)",21231,Rural,23.4,14.6,35.4,N/A , N/A , N/A,5,*,*,*,*
"Otoe County, Nebraska(6)",31131,Rural,23.4,13.8,36.9,N/A , N/A , N/A,4,*,*,*,*
"Craig County, Oklahoma(6)",40035,Rural,23.4,13,38.5,N/A , N/A , N/A,3,*,*,*,*
"Oglethorpe County, Georgia(7)",13221,Urban,23.1,13.6,36.9,N/A , N/A , N/A,4,*,*,*,*
"Jefferson County, Pennsylvania(6)",42065,Rural,23.1,17.1,30.5,N/A , N/A , N/A,11,*,*,*,*
"Penobscot County, Maine(6)",23019,Urban,22.9,19.6,26.7,N/A , N/A , N/A,37,rising,5.6,2.8,9.2
"Nassau County, New York(7)",36059,Urban,22.9,21.7,24,N/A , N/A , N/A,342,stable,0.7,-1.4,2.1
"Cache County, Utah(7)",49005,Urban,22.8,18.8,27.3,N/A , N/A , N/A,24,falling,-4.1,-11.9,-0.2
"Putnam County, West Virginia(6)",54079,Urban,22.8,17.6,28.9,N/A , N/A , N/A,15,*,*,*,*
